,day,Hole ID,Depth Below Surface [m],Theta
6879,2015-06-02,15,22.212300000000003,0.2479
6880,2015-06-02,15,22.5171,0.2435
6881,2015-06-02,15,22.8219,0.2253
6882,2015-06-02,15,23.1267,0.2387
6883,2015-06-02,15,23.4315,0.2111
6884,2015-06-02,15,23.7363,0.2329
6885,2015-06-02,15,24.0411,1.0508
6886,2015-06-02,16,0.5715000000000001,0.1741
6887,2015-06-02,16,0.8763000000000001,0.1687
6888,2015-06-02,16,1.1811,0.1845
6889,2015-06-02,16,1.4859000000000002,0.1855
6890,2015-06-02,16,1.7907,0.2387
6891,2015-06-02,16,2.0955000000000004,0.2461
6892,2015-06-02,16,2.4003000000000005,0.2337
6893,2015-06-02,16,2.7051,0.2827
6894,2015-06-02,16,3.0099,0.2777
6895,2015-06-02,16,3.3147,0.2512
6896,2015-06-02,16,3.6195000000000004,0.2367
6897,2015-06-02,16,3.9242999999999997,0.2292
6898,2015-06-02,16,4.2291,0.2294
6899,2015-06-02,16,4.5339,0.2299
6900,2015-06-02,16,4.8387,0.2273
6901,2015-06-02,16,5.1435,0.2402
6902,2015-06-02,16,5.4483,0.2454
6903,2015-06-02,16,5.7531,0.2405
6904,2015-06-02,16,6.0579,0.2338
6905,2015-06-02,16,6.3627,0.2509
6906,2015-06-02,16,6.6675,0.2623
6907,2015-06-02,16,6.972300000000001,0.2677
6908,2015-06-02,16,7.2771,0.2562
6909,2015-06-02,16,7.5819,0.2536
6910,2015-06-02,16,7.886699999999999,0.2456
6911,2015-06-02,16,8.1915,0.2284
6912,2015-06-02,16,8.4963,0.2267
6913,2015-06-02,16,8.8011,0.2342
6914,2015-06-02,16,9.1059,0.2361
6915,2015-06-02,16,9.4107,0.2439
6916,2015-06-02,16,9.7155,0.2463
6917,2015-06-02,16,10.0203,0.2312
6918,2015-06-02,16,10.3251,0.2196
6919,2015-06-02,16,10.629900000000001,0.2274
6920,2015-06-02,16,10.934700000000001,0.2338
6921,2015-06-02,16,11.2395,0.2212
6922,2015-06-02,16,11.5443,0.2108
6923,2015-06-02,16,11.8491,0.2353
6924,2015-06-02,16,12.1539,0.2086
6925,2015-06-02,16,12.4587,0.1926
6926,2015-06-02,16,12.7635,0.2395
6927,2015-06-02,16,13.0683,0.2585
6928,2015-06-02,16,13.3731,0.2338
6929,2015-06-02,16,13.677900000000001,0.2486
6930,2015-06-02,16,13.982700000000001,0.2326
6931,2015-06-02,16,14.287500000000001,0.242
6932,2015-06-02,16,14.5923,0.2457
6933,2015-06-02,16,14.8971,0.2616
6934,2015-06-02,16,15.2019,0.2598
6935,2015-06-02,16,15.5067,0.2606
6936,2015-06-02,16,15.811500000000002,0.2499
6937,2015-06-02,16,16.1163,0.2487
6938,2015-06-02,16,16.4211,0.2456
6939,2015-06-02,16,16.7259,0.2546
6940,2015-06-02,16,17.0307,0.2539
6941,2015-06-02,16,17.3355,0.2523
6942,2015-06-02,16,17.6403,0.2386
6943,2015-06-02,16,17.9451,0.245
6944,2015-06-02,16,18.2499,0.3017
6945,2015-06-02,16,18.5547,0.3692
6946,2015-06-02,16,18.8595,0.3912
